0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:30:14 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:30:17 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:30:18 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:30:21 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 3067
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:30:23 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:30:26 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:31:09 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 3010
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:31:22 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2857
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:31:50 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2827
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:33:33 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:33:48 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:33:57 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:34:28 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2708
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:35:36 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:35:51 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2737
